dataset,iteration,num_queries,mean_recall,median_recall,stddev_recall,var_recall,min_recall,max_recall,p25_recall,p75_recall,p95_recall,nodes_count,unreachable_count,orphaned_count
fashion_mnist,0,100,0.9942,1.0,0.014012853,0.00019636004,0.9,1.0,0.99,1.0,1.0,0,0,0
fashion_mnist,1,97,0.99360824,1.0,0.014300572,0.00020450636,0.9,1.0,0.99,1.0,1.0,60000,169,0
fashion_mnist,2,98,0.9931633,1.0,0.014470022,0.00020938153,0.9,1.0,0.99,1.0,1.0,60000,188,0
fashion_mnist,3,98,0.9926531,1.0,0.014537146,0.00021132863,0.9,1.0,0.99,1.0,1.0,60000,205,0
fashion_mnist,4,98,0.9927551,1.0,0.014341365,0.00020567473,0.9,1.0,0.99,1.0,1.0,60000,222,0
fashion_mnist,5,98,0.992551,1.0,0.014379068,0.00020675761,0.9,1.0,0.99,1.0,1.0,60000,243,0
fashion_mnist,6,99,0.99242425,1.0,0.014501195,0.00021028466,0.9,1.0,0.99,1.0,1.0,60000,250,0
fashion_mnist,7,99,0.9921212,1.0,0.015844746,0.000251056,0.88,1.0,0.99,1.0,1.0,60000,261,0
fashion_mnist,8,98,0.9920408,1.0,0.01590528,0.0002529779,0.88,1.0,0.99,1.0,1.0,60000,269,0
fashion_mnist,9,98,0.9918367,1.0,0.016184328,0.00026193247,0.88,1.0,0.99,1.0,1.0,60000,284,0
fashion_mnist,10,98,0.99142855,1.0,0.016720999,0.00027959183,0.88,1.0,0.99,1.0,1.0,60000,296,0
fashion_mnist,11,98,0.9911224,1.0,0.016713837,0.00027935233,0.88,1.0,0.99,1.0,1.0,60000,316,0
fashion_mnist,12,98,0.99081635,1.0,0.017003808,0.0002891295,0.88,1.0,0.99,1.0,1.0,60000,333,0
fashion_mnist,13,98,0.9907143,1.0,0.018419707,0.00033928565,0.86,1.0,0.99,1.0,1.0,60000,345,0
fashion_mnist,14,98,0.99061227,1.0,0.0198369,0.00039350262,0.85,1.0,0.99,1.0,1.0,60000,362,0
fashion_mnist,15,98,0.99061227,1.0,0.0198369,0.00039350262,0.85,1.0,0.99,1.0,1.0,60000,381,0
fashion_mnist,16,99,0.99040407,1.0,0.019995915,0.00039983663,0.85,1.0,0.99,1.0,1.0,60000,395,0
fashion_mnist,17,99,0.99010104,1.0,0.020325378,0.00041312102,0.85,1.0,0.99,1.0,1.0,60000,405,0
fashion_mnist,18,99,0.99,1.0,0.020350462,0.0004141413,0.85,1.0,0.99,1.0,1.0,60000,416,0
fashion_mnist,19,99,0.99030304,1.0,0.020123582,0.00040495856,0.85,1.0,0.99,1.0,1.0,60000,433,0
fashion_mnist,20,99,0.98959595,1.0,0.020885408,0.00043620024,0.85,1.0,0.99,1.0,1.0,60000,449,0
fashion_mnist,21,99,0.98919195,1.0,0.020825231,0.0004336903,0.85,1.0,0.99,1.0,1.0,60000,461,0
fashion_mnist,22,99,0.98919195,1.0,0.020825231,0.0004336903,0.85,1.0,0.99,1.0,1.0,60000,475,0
fashion_mnist,23,99,0.989798,1.0,0.020547051,0.00042218127,0.85,1.0,0.99,1.0,1.0,60000,493,0
fashion_mnist,24,99,0.98959595,1.0,0.02059318,0.00042407904,0.85,1.0,0.99,1.0,1.0,60000,517,0
fashion_mnist,25,99,0.9889899,1.0,0.020816412,0.00043332297,0.85,1.0,0.99,1.0,1.0,60000,545,0
fashion_mnist,26,99,0.98848486,0.99,0.02085852,0.0004350779,0.85,1.0,0.99,1.0,1.0,60000,560,0
fashion_mnist,27,99,0.9880808,0.99,0.021493563,0.00046197325,0.84,1.0,0.9825,1.0,1.0,60000,567,0
fashion_mnist,28,99,0.9878788,0.99,0.022259839,0.0004955004,0.83,1.0,0.9825,1.0,1.0,60000,573,0
fashion_mnist,29,99,0.9880808,0.99,0.021493563,0.00046197328,0.84,1.0,0.99,1.0,1.0,60000,572,0
fashion_mnist,30,99,0.9881818,0.99,0.021337293,0.0004552801,0.84,1.0,0.99,1.0,1.0,60000,581,0
fashion_mnist,31,99,0.9878788,0.99,0.021380287,0.00045711666,0.84,1.0,0.99,1.0,1.0,60000,584,0
fashion_mnist,32,99,0.98777777,0.99,0.021628432,0.00046778904,0.83,1.0,0.9825,1.0,1.0,60000,593,0
fashion_mnist,33,99,0.98757577,0.99,0.021792915,0.00047493118,0.83,1.0,0.9825,1.0,1.0,60000,607,0
fashion_mnist,34,99,0.9871717,0.99,0.02206695,0.00048695033,0.83,1.0,0.98,1.0,1.0,60000,622,0
fashion_mnist,35,99,0.9871717,0.99,0.021883087,0.0004788695,0.83,1.0,0.98,1.0,1.0,60000,639,0
fashion_mnist,36,99,0.9868687,0.99,0.022502366,0.0005063565,0.83,1.0,0.98,1.0,1.0,60000,648,0
fashion_mnist,37,99,0.7411111,0.99,0.4265717,0.18196341,0.0,1.0,0.2225,1.0,1.0,60000,655,0
fashion_mnist,38,99,0.74242425,0.99,0.42281187,0.17876989,0.0,1.0,0.2475,1.0,1.0,60000,665,0
fashion_mnist,39,99,0.68646467,0.99,0.44977507,0.2022976,0.0,1.0,0.04,1.0,1.0,60000,676,0
fashion_mnist,40,99,0.68868685,0.99,0.44547024,0.19844374,0.0,1.0,0.0425,1.0,1.0,60000,694,0
fashion_mnist,41,99,0.6907071,0.99,0.44146737,0.19489345,0.0,1.0,0.06,1.0,1.0,60000,694,0
fashion_mnist,42,99,0.69363636,0.99,0.43699953,0.1909686,0.0,1.0,0.0725,0.9975,1.0,60000,707,0
fashion_mnist,43,99,0.69555557,0.99,0.43307737,0.18755601,0.0,1.0,0.08,0.99,1.0,60000,719,0
fashion_mnist,44,99,0.6967677,0.98,0.42988566,0.18480168,0.0,1.0,0.09,0.99,1.0,60000,723,0
fashion_mnist,45,99,0.76434344,0.99,0.39245707,0.15402254,0.01,1.0,0.8675,1.0,1.0,60000,728,0
fashion_mnist,46,99,0.8981818,0.99,0.25768733,0.066402756,0.04,1.0,0.97,1.0,1.0,60000,741,0
fashion_mnist,47,99,0.93525255,0.99,0.19477178,0.037936047,0.07,1.0,0.98,1.0,1.0,60000,745,0
fashion_mnist,48,99,0.9780808,0.99,0.035267428,0.0012437914,0.79,1.0,0.98,1.0,1.0,60000,746,0
fashion_mnist,49,99,0.9769697,0.99,0.036026213,0.001297888,0.79,1.0,0.98,1.0,1.0,60000,756,0
fashion_mnist,50,99,0.9773737,0.99,0.03543627,0.0012557291,0.79,1.0,0.98,1.0,1.0,60000,760,0
fashion_mnist,51,100,0.9777,0.99,0.035604917,0.0012677101,0.79,1.0,0.98,1.0,1.0,60000,770,0
fashion_mnist,52,99,0.9770707,0.99,0.037665527,0.0014186921,0.75,1.0,0.98,1.0,1.0,60000,772,0
fashion_mnist,53,99,0.97868687,0.99,0.034337793,0.0011790838,0.75,1.0,0.98,1.0,1.0,60000,775,0
fashion_mnist,54,99,0.9790909,0.99,0.03333609,0.001111295,0.77,1.0,0.98,1.0,1.0,60000,777,0
fashion_mnist,55,99,0.9789899,0.99,0.03273694,0.0010717072,0.78,1.0,0.98,1.0,1.0,60000,782,0
fashion_mnist,56,99,0.97888887,0.99,0.03265643,0.0010664423,0.78,1.0,0.98,1.0,1.0,60000,786,0
fashion_mnist,57,99,0.97858584,0.99,0.033181783,0.0011010307,0.78,1.0,0.98,1.0,1.0,60000,789,0
fashion_mnist,58,99,0.97848487,0.99,0.03470987,0.0012047752,0.76,1.0,0.98,1.0,1.0,60000,800,0
fashion_mnist,59,100,0.97830003,0.99,0.035271946,0.0012441102,0.76,1.0,0.98,1.0,1.0,60000,798,0
fashion_mnist,60,100,0.9781,0.99,0.035935916,0.0012913902,0.76,1.0,0.98,1.0,1.0,60000,809,0
fashion_mnist,61,80,0.98,0.99,0.033279125,0.0011075003,0.77,1.0,0.98,1.0,1.0,60000,817,0
fashion_mnist,62,80,0.97975004,0.99,0.033014204,0.0010899378,0.77,1.0,0.98,1.0,1.0,60000,813,0
fashion_mnist,63,99,0.7940404,0.99,0.3832264,0.14686246,0.0,1.0,0.95,0.99,1.0,60000,823,0
fashion_mnist,64,100,0.7973,0.99,0.37963367,0.1441217,0.0,1.0,0.955,0.99,1.0,60000,822,0
fashion_mnist,65,100,0.7983,0.985,0.37685025,0.14201611,0.0,1.0,0.955,0.99,1.0,60000,827,0
fashion_mnist,66,100,0.8,0.98,0.37264192,0.138862,0.0,1.0,0.95,0.99,1.0,60000,827,0
