dataset,iteration,num_queries,mean_recall,median_recall,stddev_recall,var_recall,min_recall,max_recall,p25_recall,p75_recall,p95_recall,nodes_count,unreachable_count,orphaned_count
mnist,0,100,0.9877,1.0,0.030556668,0.00093370996,0.83,1.0,0.99,1.0,1.0,0,0,0
mnist,1,100,0.9874,1.0,0.030483438,0.00092923996,0.83,1.0,0.99,1.0,1.0,60000,2,0
mnist,2,100,0.9873,1.0,0.030491145,0.00092970993,0.83,1.0,0.99,1.0,1.0,60000,2,0
mnist,3,100,0.987,1.0,0.030643106,0.00093899993,0.83,1.0,0.99,1.0,1.0,60000,2,0
mnist,4,100,0.9864,1.0,0.03096837,0.0009590399,0.83,1.0,0.99,1.0,1.0,60000,2,0
mnist,5,100,0.9861,1.0,0.03133353,0.0009817899,0.83,1.0,0.99,1.0,1.0,60000,2,0
mnist,6,100,0.9859,1.0,0.03140366,0.0009861899,0.83,1.0,0.99,1.0,1.0,60000,3,0
mnist,7,100,0.9856,1.0,0.03131517,0.00098064,0.83,1.0,0.99,1.0,1.0,60000,4,0
mnist,8,100,0.9856,1.0,0.03172759,0.0010066399,0.83,1.0,0.99,1.0,1.0,60000,4,0
mnist,9,100,0.9857,1.0,0.03144058,0.0009885099,0.83,1.0,0.99,1.0,1.0,60000,4,0
mnist,10,100,0.9857,1.0,0.03144058,0.0009885099,0.83,1.0,0.99,1.0,1.0,60000,5,0
mnist,11,100,0.9853,1.0,0.03192037,0.0010189099,0.83,1.0,0.99,1.0,1.0,60000,4,0
mnist,12,100,0.98510003,1.0,0.03296953,0.00108699,0.81,1.0,0.99,1.0,1.0,60000,4,0
mnist,13,100,0.9849,1.0,0.03269541,0.0010689899,0.83,1.0,0.99,1.0,1.0,60000,4,0
mnist,14,100,0.9849,1.0,0.03248061,0.0010549899,0.83,1.0,0.99,1.0,1.0,60000,5,0
mnist,15,100,0.9852,1.0,0.031511262,0.0009929597,0.85,1.0,0.99,1.0,1.0,60000,6,0
mnist,16,100,0.985,1.0,0.031448368,0.0009889997,0.85,1.0,0.99,1.0,1.0,60000,6,0
mnist,17,100,0.9848,1.0,0.03163795,0.0010009599,0.84,1.0,0.99,1.0,1.0,60000,6,0
mnist,18,100,0.9848,1.0,0.031574674,0.00099696,0.84,1.0,0.99,1.0,1.0,60000,7,0
mnist,19,100,0.98440003,1.0,0.03465025,0.00120064,0.78,1.0,0.99,1.0,1.0,60000,7,0
mnist,20,100,0.9838,1.0,0.03632575,0.00131956,0.76,1.0,0.99,1.0,1.0,60000,8,0
mnist,21,100,0.9835,1.0,0.036588933,0.00133875,0.76,1.0,0.99,1.0,1.0,60000,8,0
mnist,22,100,0.9831,1.0,0.037435144,0.0014013901,0.76,1.0,0.99,1.0,1.0,60000,9,0
mnist,23,100,0.9827,1.0,0.038388934,0.0014737102,0.76,1.0,0.99,1.0,1.0,60000,9,0
mnist,24,100,0.9825,1.0,0.038610235,0.0014907501,0.76,1.0,0.985,1.0,1.0,60000,9,0
mnist,25,100,0.9819,1.0,0.039286006,0.0015433902,0.76,1.0,0.98,1.0,1.0,60000,10,0
mnist,26,99,0.9821212,1.0,0.039702754,0.0015763087,0.76,1.0,0.98,1.0,1.0,60000,10,0
mnist,27,99,0.9813131,1.0,0.04034314,0.0016275689,0.76,1.0,0.98,1.0,1.0,60000,11,0
mnist,28,99,0.9813131,1.0,0.04036817,0.001629589,0.76,1.0,0.98,1.0,1.0,60000,12,0
mnist,29,99,0.9810101,1.0,0.040289234,0.0016232224,0.76,1.0,0.98,1.0,1.0,60000,13,0
mnist,30,99,0.9809091,1.0,0.041024532,0.0016830121,0.76,1.0,0.98,1.0,1.0,60000,13,0
mnist,31,99,0.9810101,1.0,0.04103448,0.0016838284,0.76,1.0,0.9825,1.0,1.0,60000,13,0
mnist,32,99,0.98121214,1.0,0.04085631,0.0016692381,0.76,1.0,0.9825,1.0,1.0,60000,13,0
mnist,33,99,0.9808081,1.0,0.041210886,0.0016983371,0.76,1.0,0.98,1.0,1.0,60000,14,0
mnist,34,99,0.98050505,1.0,0.041739304,0.0017421694,0.76,1.0,0.98,1.0,1.0,60000,14,0
mnist,35,99,0.979899,0.99,0.041548196,0.0017262526,0.76,1.0,0.98,1.0,1.0,60000,14,0
mnist,36,99,0.979697,1.0,0.041958485,0.0017605145,0.76,1.0,0.98,1.0,1.0,60000,13,0
mnist,37,99,0.98,1.0,0.041706044,0.0017393942,0.76,1.0,0.98,1.0,1.0,60000,14,0
mnist,38,99,0.97959596,1.0,0.04285091,0.0018362005,0.76,1.0,0.98,1.0,1.0,60000,15,0
mnist,39,100,0.9793,0.995,0.043410946,0.00188451,0.75,1.0,0.98,1.0,1.0,60000,14,0
mnist,40,100,0.9801,0.99,0.03991228,0.0015929901,0.8,1.0,0.98,1.0,1.0,60000,14,0
mnist,41,100,0.9796,0.99,0.041639406,0.0017338402,0.76,1.0,0.98,1.0,1.0,60000,15,0
mnist,42,100,0.9791,0.99,0.043430295,0.0018861904,0.76,1.0,0.98,1.0,1.0,60000,15,0
mnist,43,100,0.9793,0.99,0.04233805,0.0017925104,0.78,1.0,0.98,1.0,1.0,60000,15,0
mnist,44,100,0.9792,0.99,0.042465992,0.0018033604,0.78,1.0,0.98,1.0,1.0,60000,16,0
mnist,45,100,0.9792,0.99,0.042371694,0.0017953605,0.78,1.0,0.98,1.0,1.0,60000,16,0
mnist,46,100,0.9794,0.99,0.041948065,0.0017596402,0.78,1.0,0.98,1.0,1.0,60000,16,0
mnist,47,100,0.9797,0.99,0.041724216,0.0017409102,0.78,1.0,0.98,1.0,1.0,60000,16,0
mnist,48,100,0.9799,0.99,0.04141244,0.0017149902,0.78,1.0,0.98,1.0,1.0,60000,16,0
mnist,49,100,0.9799,0.99,0.041797012,0.0017469903,0.78,1.0,0.98,1.0,1.0,60000,16,0
mnist,50,100,0.9797,0.99,0.040876765,0.00167091,0.79,1.0,0.98,1.0,1.0,60000,15,0
mnist,51,100,0.9794,0.99,0.041080896,0.00168764,0.79,1.0,0.98,1.0,1.0,60000,15,0
mnist,52,100,0.9794,0.99,0.04122669,0.00169964,0.79,1.0,0.98,1.0,1.0,60000,16,0
mnist,53,100,0.9794,0.99,0.04125094,0.00170164,0.79,1.0,0.98,1.0,1.0,60000,16,0
mnist,54,100,0.9786,0.99,0.043012094,0.00185004,0.76,1.0,0.98,1.0,1.0,60000,16,0
mnist,55,100,0.9789,0.99,0.040715966,0.00165779,0.79,1.0,0.98,1.0,1.0,60000,17,0
mnist,56,100,0.9786,0.99,0.040915035,0.00167404,0.79,1.0,0.98,1.0,1.0,60000,17,0
mnist,57,100,0.9786,0.99,0.040274557,0.0016220399,0.79,1.0,0.98,1.0,1.0,60000,16,0
mnist,58,100,0.9786,0.99,0.04066989,0.00165404,0.79,1.0,0.98,1.0,1.0,60000,16,0
mnist,59,100,0.9785,0.99,0.040727753,0.00165875,0.79,1.0,0.98,1.0,1.0,60000,17,0
mnist,60,100,0.978,0.99,0.041737273,0.001742,0.79,1.0,0.98,1.0,1.0,60000,17,0
mnist,61,100,0.9777,0.99,0.042257663,0.00178571,0.79,1.0,0.98,1.0,1.0,60000,17,0
mnist,62,100,0.9778,0.99,0.041775115,0.0017451601,0.8,1.0,0.98,1.0,1.0,60000,16,0
mnist,63,100,0.9779,0.99,0.041528184,0.0017245901,0.81,1.0,0.98,1.0,1.0,60000,16,0
mnist,64,100,0.978,0.99,0.041880783,0.0017540001,0.81,1.0,0.98,1.0,1.0,60000,16,0
mnist,65,100,0.9777,0.99,0.04282184,0.00183371,0.79,1.0,0.98,1.0,1.0,60000,16,0
mnist,66,100,0.9759,0.99,0.05304894,0.00281419,0.61,1.0,0.98,1.0,1.0,60000,16,0
mnist,67,100,0.9763,0.99,0.05131579,0.0026333102,0.63,1.0,0.98,1.0,1.0,60000,15,0
mnist,68,100,0.9761,0.99,0.05005787,0.0025057902,0.64,1.0,0.98,1.0,1.0,60000,15,0
mnist,69,100,0.9761,0.99,0.04961643,0.00246179,0.64,1.0,0.98,1.0,1.0,60000,16,0
mnist,70,100,0.9762,0.99,0.049573787,0.00245756,0.64,1.0,0.98,1.0,1.0,60000,16,0
mnist,71,100,0.9764,0.99,0.04930558,0.0024310402,0.64,1.0,0.98,1.0,1.0,60000,16,0
mnist,72,100,0.9762,0.99,0.049634263,0.00246356,0.64,1.0,0.98,1.0,1.0,60000,15,0
mnist,73,100,0.97650003,0.99,0.049302638,0.0024307503,0.64,1.0,0.98,1.0,1.0,60000,15,0
mnist,74,100,0.97650003,0.99,0.049302638,0.0024307503,0.64,1.0,0.98,1.0,1.0,60000,16,0
mnist,75,100,0.9759,0.99,0.050716765,0.0025721902,0.64,1.0,0.98,1.0,1.0,60000,16,0
mnist,76,100,0.9757,0.99,0.050640993,0.0025645103,0.64,1.0,0.98,1.0,1.0,60000,17,0
mnist,77,100,0.9755,0.99,0.050781395,0.0025787503,0.64,1.0,0.98,1.0,1.0,60000,18,0
mnist,78,100,0.9753,0.99,0.050881334,0.0025889103,0.64,1.0,0.98,1.0,1.0,60000,19,0
mnist,79,100,0.9749,0.99,0.051546,0.0026569902,0.64,1.0,0.98,1.0,1.0,60000,20,0
mnist,80,100,0.97540003,0.99,0.051718857,0.0026748402,0.64,1.0,0.98,1.0,1.0,60000,20,0
mnist,81,100,0.9757,0.99,0.051754326,0.00267851,0.64,1.0,0.98,1.0,1.0,60000,19,0
mnist,82,100,0.0074,0.01,0.0082,6.724e-05,0.0,0.03,0.0,0.01,0.02,60000,19,0
mnist,83,100,0.017099999,0.02,0.0134383775,0.00018059,0.0,0.06,0.01,0.03,0.04,60000,19,0
mnist,84,100,0.029,0.03,0.015,0.000225,0.0,0.07,0.02,0.04,0.06,60000,19,0
mnist,85,100,0.0391,0.04,0.017781733,0.00031619,0.0,0.08,0.03,0.05,0.07,60000,19,0
mnist,86,100,0.0489,0.05,0.020094527,0.00040379,0.01,0.1,0.03,0.06,0.084999986,60000,19,0
mnist,87,100,0.0577,0.06,0.021440849,0.00045971002,0.01,0.11,0.04,0.07,0.09499999,60000,19,0
mnist,88,100,0.0668,0.065,0.024202479,0.00058576,0.01,0.13,0.05,0.08,0.11,60000,19,0
mnist,89,100,0.0752,0.07,0.026133504,0.00068296,0.01,0.14,0.06,0.09,0.12,60000,22,0
mnist,90,100,0.0842,0.08,0.027574627,0.00076036,0.01,0.15,0.065,0.1,0.13,60000,22,0
mnist,91,100,0.0936,0.09,0.028793054,0.00082903996,0.02,0.16,0.08,0.12,0.14,60000,24,0
mnist,92,100,0.1021,0.1,0.030864056,0.00095259,0.03,0.18,0.08,0.125,0.15499999,60000,25,0
mnist,93,100,0.1096,0.1,0.033434115,0.00111784,0.03,0.21,0.09,0.13,0.16,60000,26,0
mnist,94,100,0.1184,0.12,0.03384435,0.00114544,0.03,0.21,0.095,0.14,0.18,60000,26,0
mnist,95,100,0.1265,0.13,0.033834156,0.00114475,0.03,0.21,0.1,0.15,0.18,60000,27,0
mnist,96,100,0.1366,0.14,0.0348775,0.00121644,0.03,0.22,0.11,0.16,0.195,60000,28,0
mnist,97,100,0.1443,0.14500001,0.034474775,0.00118851,0.03,0.24,0.12,0.16,0.2,60000,28,0
mnist,98,100,0.1539,0.16,0.03690244,0.00136179,0.03,0.26,0.13,0.18,0.21,60000,28,0
mnist,99,100,0.1613,0.16,0.03730027,0.0013913101,0.04,0.27,0.13,0.19,0.22,60000,28,0
mnist,100,100,0.1709,0.17,0.0378707,0.00143419,0.05,0.28,0.14,0.2,0.23,60000,28,0
mnist,101,100,0.1791,0.18,0.038525186,0.00148419,0.06,0.29,0.15,0.2,0.23499998,60000,28,0
mnist,102,100,0.1865,0.19,0.03835036,0.00147075,0.07,0.3,0.16,0.21,0.24499999,60000,28,0
mnist,103,100,0.1969,0.2,0.03926054,0.00154139,0.07,0.3,0.17,0.22,0.26,60000,28,0
mnist,104,100,0.2038,0.21,0.040958025,0.0016775599,0.07,0.31,0.18,0.23,0.27,60000,29,0
mnist,105,100,0.2122,0.21,0.041196603,0.00169716,0.09,0.31,0.19,0.24,0.28,60000,28,0
mnist,106,100,0.2203,0.22,0.042295508,0.00178891,0.12,0.32,0.19,0.25,0.285,60000,27,0
mnist,107,100,0.2272,0.23,0.041882694,0.0017541599,0.13,0.32,0.2,0.255,0.3,60000,30,0
mnist,108,100,0.2355,0.23,0.0422463,0.0017847499,0.14,0.34,0.21,0.27,0.31,60000,30,0
mnist,109,100,0.2435,0.25,0.04200893,0.00176475,0.16,0.35,0.21,0.27,0.315,60000,34,0
mnist,110,100,0.251,0.25,0.042696603,0.001823,0.16,0.36,0.22,0.285,0.32,60000,36,0
mnist,111,100,0.2587,0.26,0.04234749,0.00179331,0.17,0.38,0.23,0.29,0.325,60000,38,0
mnist,112,100,0.266,0.26,0.042684894,0.0018220001,0.17,0.39,0.24,0.3,0.335,60000,38,0
mnist,113,100,0.2728,0.27,0.044318847,0.0019641602,0.17,0.4,0.24,0.305,0.345,60000,37,0
mnist,114,100,0.2787,0.28,0.04581823,0.00209931,0.17,0.4,0.25,0.31,0.355,60000,38,0
mnist,115,100,0.2856,0.28,0.046223804,0.00213664,0.18,0.4,0.26,0.32,0.36,60000,39,0
mnist,116,100,0.29320002,0.29,0.046084274,0.0021237603,0.19,0.4,0.26,0.32,0.37,60000,39,0
mnist,117,100,0.2998,0.29500002,0.047748927,0.00227996,0.2,0.41,0.27,0.33,0.38,60000,39,0
mnist,118,100,0.3065,0.31,0.04821566,0.00232475,0.2,0.42,0.27,0.34,0.385,60000,40,0
mnist,119,100,0.3144,0.32,0.04964514,0.00246464,0.2,0.42,0.28,0.35,0.4,60000,41,0
